universe_index,family,input_taxon,source_taxon,accepted_source_taxon,territorial_scope,category,category_system,publication_year,source,source_institution,source_reference,source_url,taxonomic_resolution_state,taxonomic_reconciliation_reference,evidence_state,uncertainty,scoring_performed
98,AMARYLLIDACEAE,Allium victorialis,Allium victorialis,Allium victorialis,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
,ASPLENIACEAE,,Asplenium seelosii,,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,TAXON_UNRESOLVED,,TAXON_UNRESOLVED,"Source uses species-level Asplenium seelosii; canonical universe contains Asplenium seelosii subsp. glabrum, but equivalence is not asserted silently",NO
285,FABACEAE,Astragalus vesicarius,Astragalus vesicarius,Astragalus vesicarius,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
287,ATHYRIACEAE,Athyrium distentifolium,Athyrium distentifolium,Athyrium distentifolium,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
1364,ASTERACEAE,Lactuca plumieri,Cicerbita plumieri,Lactuca plumieri,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,SOURCE_RECONCILED_SYNONYM,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:194479-1,VALID_SOURCE_EVIDENCE,"POWO identifies Cicerbita plumieri as a synonym of accepted Lactuca plumieri; regional category retained from source publication",NO
740,FABACEAE,Cytisus decumbens,Cytisus decumbens,Cytisus decumbens,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
751,ORCHIDACEAE,Dactylorhiza markusii,Dactylorhiza markusii,Dactylorhiza markusii,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
813,DRYOPTERIDACEAE,Dryopteris carthusiana,Dryopteris carthusiana,Dryopteris carthusiana,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
874,ORCHIDACEAE,Epipogium aphyllum,Epipogium aphyllum,Epipogium aphyllum,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
1389,OROBANCHACEAE,Lathraea squamaria,Lathraea squamaria,Lathraea squamaria,La Rioja,CR,"Libro Rojo de la Flora Silvestre Amenazada de La Rioja; categorías UICN",2001,Desconocidas en peligro,Gobierno de La Rioja · Páginas de Información Ambiental,"Nº 6 (2001), pp. 12-15; table: Especies incluidas en la categoría de En Peligro Crítico en La Rioja",https://dialnet.unirioja.es/descarga/articulo/2348994.pdf,EXACT_NAME,,VALID_SOURCE_EVIDENCE,"Official regional publication summarizes the Red Book; complete Red Book dataset not located",NO
