universe_index,genus,family,taxon
1,Abies,PINACEAE,Abies alba
2,Abutilon,MALVACEAE,Abutilon theophrasti
3,Acer,SAPINDACEAE,Acer campestre
4,Acer,SAPINDACEAE,Acer monspessulanum
5,Acer,SAPINDACEAE,Acer monspessulanum x A. campestre
6,Acer,SAPINDACEAE,Acer opalus
7,Acer,SAPINDACEAE,Acer pseudoplatanus
8,Achillea,ASTERACEAE,Achillea ageratum
9,Achillea,ASTERACEAE,Achillea collina
10,Achillea,ASTERACEAE,Achillea millefolium
11,Achillea,ASTERACEAE,Achillea millefolium subsp. millefolium
12,Achillea,ASTERACEAE,Achillea odorata
13,Achillea,ASTERACEAE,Achillea ptarmica
14,Achillea,ASTERACEAE,Achillea ptarmica subsp. pyrenaica
15,Achillea,ASTERACEAE,Achillea tomentosa
16,Acinos,LAMIACEAE,Acinos alpinus
17,Acinos,LAMIACEAE,Acinos arvensis
18,Aconitum,RANUNCULACEAE,Aconitum anthora
19,Aconitum,RANUNCULACEAE,Aconitum napellus
20,Aconitum,RANUNCULACEAE,Aconitum vulgaria subsp. neapolitanum
21,Actaea,RANUNCULACEAE,Actaea spicata
22,Adenocarpus,FABACEAE,Adenocarpus complicatus
23,Adenocarpus,FABACEAE,Adenocarpus hispanicus
24,Adiantum,PTERIDACEAE,Adiantum capillus-veneris
25,Adonis,RANUNCULACEAE,Adonis aestivalis
26,Adonis,RANUNCULACEAE,Adonis aestivalis subsp. squarrosa
27,Adonis,RANUNCULACEAE,Adonis annua
28,Adonis,RANUNCULACEAE,Adonis flammea
29,Adonis,RANUNCULACEAE,Adonis microcarpa
30,Adonis,RANUNCULACEAE,Adonis vernalis
31,Aegilops,POACEAE,Aegilops geniculata
32,Aegilops,POACEAE,Aegilops neglecta
33,Aegilops,POACEAE,Aegilops triuncialis
34,Aegilops,POACEAE,Aegilops ventricosa
35,Aegonychon,BORAGINACEAE,Aegonychon purpurocaeruleum
36,Aeluropus,POACEAE,Aeluropus littoralis
37,Aesculus,SAPINDACEAE,Aesculus hippocastanum
38,Aethionema,BRASSICACEAE,Aethionema marginatum
39,Aethionema,BRASSICACEAE,Aethionema monospermum
40,Aethionema,BRASSICACEAE,Aethionema saxatile
