universe_index,family,taxon
2,MALVACEAE,Abutilon theophrasti
15,ASTERACEAE,Achillea tomentosa
16,LAMIACEAE,Acinos alpinus
17,LAMIACEAE,Acinos arvensis
23,FABACEAE,Adenocarpus hispanicus
24,FABACEAE,Adenocarpus telonensis
27,ADOXACEAE,Adoxa moschatellina
29,RANUNCULACEAE,Adonis aestivalis
30,RANUNCULACEAE,Adonis annua
31,RANUNCULACEAE,Adonis flammea
33,POACEAE,Aegilops geniculata
34,POACEAE,Aegilops neglecta
35,POACEAE,Aegilops triuncialis
36,POACEAE,Aegilops ventricosa
38,POACEAE,Aeluropus littoralis
43,AMARANTHACEAE,Agathophora alopecuroides
45,LAMIACEAE,Ajuga chamaepitys
48,ALISMATACEAE,Alisma lanceolatum
49,ALISMATACEAE,Alisma plantago-aquatica
52,AMARYLLIDACEAE,Allium ampeloprasum
56,AMARYLLIDACEAE,Allium ericetorum
57,AMARYLLIDACEAE,Allium moschatum
58,AMARYLLIDACEAE,Allium neapolitanum
61,AMARYLLIDACEAE,Allium paniculatum
64,AMARYLLIDACEAE,Allium rotundum
65,AMARYLLIDACEAE,Allium scorodoprasum
66,AMARYLLIDACEAE,Allium sphaerocephalon
69,AMARYLLIDACEAE,Allium vineale
70,AMARANTHACEAE,Alternanthera caracasana
71,AMARANTHACEAE,Amaranthus albus
72,AMARANTHACEAE,Amaranthus blitoides
73,AMARANTHACEAE,Amaranthus blitum
74,AMARANTHACEAE,Amaranthus cruentus
75,AMARANTHACEAE,Amaranthus deflexus
77,AMARANTHACEAE,Amaranthus hybridus
78,AMARANTHACEAE,Amaranthus hypochondriacus
79,AMARANTHACEAE,Amaranthus muricatus
80,AMARANTHACEAE,Amaranthus powellii
81,AMARANTHACEAE,Amaranthus retroflexus
82,AMARANTHACEAE,Amaranthus viridis
83,ASTERACEAE,Ambrosia artemisiifolia
84,ASTERACEAE,Ambrosia coronopifolia
85,AMARYLLIDACEAE,Amaryllis belladonna
86,ROSACEAE,Amelanchier ovalis
87,PRIMULACEAE,Anagallis arvensis
89,PRIMULACEAE,Anagallis foemina
90,PRIMULACEAE,Anagallis minima
91,PRIMULACEAE,Anagallis monelli
92,ASTERACEAE,Anacyclus clavatus
93,ASTERACEAE,Anacyclus radiatus
94,RANUNCULACEAE,Anemone palmata
96,RANUNCULACEAE,Anemone ranunculoides
97,RANUNCULACEAE,Anemone sylvestris
98,PRIMULACEAE,Androsace maxima
99,PRIMULACEAE,Androsace villosa
100,PRIMULACEAE,Androsace vitaliana
101,POACEAE,Anisantha diandra
102,POACEAE,Anisantha madritensis
103,POACEAE,Anisantha rubens
104,POACEAE,Anisantha sterilis
105,POACEAE,Anisantha tectorum
106,POACEAE,Anthoxanthum aristatum
107,POACEAE,Anthoxanthum odoratum
108,POACEAE,Anthoxanthum ovatum
109,POACEAE,Anthoxanthum repens
110,APIACEAE,Anthriscus caucalis
111,APIACEAE,Anthriscus sylvestris
113,FABACEAE,Anthyllis cytisoides
114,FABACEAE,Anthyllis montana
115,FABACEAE,Anthyllis vulneraria
118,PLANTAGINACEAE,Antirrhinum graniticum
119,PLANTAGINACEAE,Antirrhinum majus
120,PLANTAGINACEAE,Antirrhinum molle
121,PLANTAGINACEAE,Antirrhinum pulverulentum
123,APIACEAE,Apium graveolens
125,RANUNCULACEAE,Aquilegia vulgaris
126,ARACEAE,Arum italicum
127,ARACEAE,Arum maculatum
128,ARISTOLOCHIACEAE,Aristolochia longa
129,ARISTOLOCHIACEAE,Aristolochia paucinervis
130,ARISTOLOCHIACEAE,Aristolochia pistolochia
131,ASTERACEAE,Arnoseris minima
132,POACEAE,Arrhenatherum album
133,POACEAE,Arrhenatherum elatius
135,ARTEMISIACEAE,Artemisia absinthium
136,ARTEMISIACEAE,Artemisia alba
138,ARTEMISIACEAE,Artemisia campestris
139,ARTEMISIACEAE,Artemisia chamaemelifolia
141,ARTEMISIACEAE,Artemisia herba-alba
143,ARTEMISIACEAE,Artemisia verlotiorum
144,ARACEAE,Arum cylindraceum
145,ARACEAE,Arum italicum subsp. italicum
147,POACEAE,Avena barbata
148,POACEAE,Avena fatua
149,POACEAE,Avena sterilis
151,ASTERACEAE,Bellis annua
152,ASTERACEAE,Bellis perennis
154,BRASSICACEAE,Biscutella auriculata
155,BRASSICACEAE,Biscutella laevigata
157,BORAGINACEAE,Borago officinalis
160,POACEAE,Brachypodium phoenicoides
161,POACEAE,Brachypodium pinnatum
162,POACEAE,Brachypodium retusum
163,POACEAE,Brachypodium sylvaticum
165,POACEAE,Briza maxima
166,POACEAE,Briza media
167,POACEAE,Briza minor
168,POACEAE,Bromopsis erecta
169,POACEAE,Bromus arvensis
170,POACEAE,Bromus commutatus
171,POACEAE,Bromus hordeaceus
172,POACEAE,Bromus intermedius
173,POACEAE,Bromus japonicus
174,POACEAE,Bromus lanceolatus
175,POACEAE,Bromus racemosus
176,POACEAE,Bromus rigidus
177,POACEAE,Bromus secalinus
178,POACEAE,Bromus squarrosus
179,POACEAE,Bromus tectorum
180,ASTERACEAE,Buphthalmum salicifolium
181,ASTERACEAE,Calendula arvensis
182,ASTERACEAE,Calendula officinalis
184,CAMPANULACEAE,Campanula erinus
185,CAMPANULACEAE,Campanula glomerata
186,CAMPANULACEAE,Campanula hispanica
187,CAMPANULACEAE,Campanula patula
188,CAMPANULACEAE,Campanula persicifolia
189,CAMPANULACEAE,Campanula rapunculoides
190,CAMPANULACEAE,Campanula rapunculus
191,CAMPANULACEAE,Campanula rotundifolia
192,CAMPANULACEAE,Campanula scheuchzeri
193,CAMPANULACEAE,Campanula trachelium
194,CANNABACEAE,Cannabis sativa
195,CAPPARACEAE,Capparis spinosa
196,CARYOPHYLLACEAE,Cerastium arvense
197,CARYOPHYLLACEAE,Cerastium brachypetalum
198,CARYOPHYLLACEAE,Cerastium fontanum
199,CARYOPHYLLACEAE,Cerastium glomeratum
200,CARYOPHYLLACEAE,Cerastium pumilum
201,CARYOPHYLLACEAE,Cerastium semidecandrum
202,CARYOPHYLLACEAE,Cerastium tomentosum
203,CARYOPHYLLACEAE,Cerastium vulgare
205,ASTERACEAE,Centaurea aspera
206,ASTERACEAE,Centaurea calcitrapa
208,ASTERACEAE,Centaurea cyanus
209,ASTERACEAE,Centaurea jacea
210,ASTERACEAE,Centaurea melitensis
211,ASTERACEAE,Centaurea nigra
212,ASTERACEAE,Centaurea ornata
213,ASTERACEAE,Centaurea paniculata
