universe_index,family,taxon,issue,detail
5,SAPINDACEAE,Acer monspessulanum x A. campestre,NO_EXACT_TAXON_MATCH,
8,ASTERACEAE,Achillea ageratum,NO_API_TAXON,
11,ASTERACEAE,Achillea millefolium subsp. millefolium,NO_EXACT_TAXON_MATCH,
12,ASTERACEAE,Achillea odorata,NO_API_TAXON,
14,ASTERACEAE,Achillea ptarmica subsp. pyrenaica,NO_EXACT_TAXON_MATCH,
15,ASTERACEAE,Achillea tomentosa,NO_API_TAXON,
16,LAMIACEAE,Acinos alpinus,NO_API_TAXON,
17,LAMIACEAE,Acinos arvensis,NO_API_TAXON,
18,RANUNCULACEAE,Aconitum anthora,NO_API_TAXON,
20,RANUNCULACEAE,Aconitum vulgaria subsp. neapolitanum,NO_API_TAXON,
26,RANUNCULACEAE,Adonis aestivalis subsp. squarrosa,NO_EXACT_TAXON_MATCH,
38,BRASSICACEAE,Aethionema marginatum,NO_API_TAXON,
39,BRASSICACEAE,Aethionema monospermum,NO_API_TAXON,
41,BRASSICACEAE,Aethionema saxatile subsp. ovalifolium,NO_EXACT_TAXON_MATCH,
42,BRASSICACEAE,Aethionema thomasianum,NO_API_TAXON,
44,POACEAE,Agropyron cristatum subsp. pectinatum,NO_EXACT_TAXON_MATCH,
46,POACEAE,Agrostis alpina,NO_API_TAXON,
50,POACEAE,Agrostis curtisii,NO_API_TAXON,
51,POACEAE,Agrostis delicatula,NO_API_TAXON,
56,POACEAE,Aira praecox,NO_API_TAXON,
58,AIZOACEAE,Aizoon hispanicum,NO_API_TAXON,
62,MALVACEAE,Alcea rosea,NO_API_TAXON,
63,ROSACEAE,Alchemilla alpigena,NO_API_TAXON,
64,ROSACEAE,Alchemilla alpina,NO_API_TAXON,
65,ROSACEAE,Alchemilla basaltica,NO_API_TAXON,
66,ROSACEAE,Alchemilla colorata,NO_API_TAXON,
67,ROSACEAE,Alchemilla coriacea,NO_API_TAXON,
68,ROSACEAE,Alchemilla filicaulis,NO_API_TAXON,
69,ROSACEAE,Alchemilla filicaulis var. vestita,NO_API_TAXON,
71,ROSACEAE,Alchemilla plicatula,NO_API_TAXON,
72,ROSACEAE,Alchemilla polatschekiana,NO_API_TAXON,
73,ROSACEAE,Alchemilla santanderiensis,NO_API_TAXON,
74,ROSACEAE,Alchemilla saxatilis,NO_API_TAXON,
75,ROSACEAE,Alchemilla saxetana,NO_API_TAXON,
76,ROSACEAE,Alchemilla spectabilior,NO_API_TAXON,
78,ROSACEAE,Alchemilla tenuis,NO_API_TAXON,
79,ROSACEAE,Alchemilla transiens,NO_API_TAXON,
80,ROSACEAE,Alchemilla vetteri,NO_API_TAXON,
86,AMARYLLIDACEAE,Allium guttatum subsp. sardoum,NO_EXACT_TAXON_MATCH,
87,AMARYLLIDACEAE,Allium lusitanicum,NO_API_TAXON,
89,AMARYLLIDACEAE,Allium oleraceum var. oleraceum,NO_EXACT_TAXON_MATCH,
92,AMARYLLIDACEAE,Allium schoenoprassum,NO_API_TAXON,
94,AMARYLLIDACEAE,Allium scorodoprasum subsp. rotundum,NO_EXACT_TAXON_MATCH,
100,PTERIDACEAE,Allosurus acrosticus,NO_API_TAXON,
101,PTERIDACEAE,Allosurus pteridioides,NO_API_TAXON,
108,MALVACEAE,Althaea cannabina,NO_API_TAXON,
113,BRASSICACEAE,Alyssum granatense,NO_API_TAXON,
114,BRASSICACEAE,Alyssum linifolium,NO_API_TAXON,
117,BRASSICACEAE,Alyssum serpyllifolium,NO_API_TAXON,
123,AMARANTHACEAE,Amaranthus graecizans subsp. silvestris,NO_EXACT_TAXON_MATCH,
126,AMARANTHACEAE,Amaranthus powelli,NO_API_TAXON,
135,ASTERACEAE,Anacyclus valentinus,NO_API_TAXON,
136,PLANTAGINACEAE,Anarrhinum bellidifolium,NO_API_TAXON,
