universe_index,family,taxon
1,PINACEAE,Abies alba
2,MALVACEAE,Abutilon theophrasti
3,SAPINDACEAE,Acer campestre
4,SAPINDACEAE,Acer monspessulanum
5,SAPINDACEAE,Acer monspessulanum x A. campestre
6,SAPINDACEAE,Acer opalus
7,SAPINDACEAE,Acer pseudoplatanus
8,ASTERACEAE,Achillea ageratum
9,ASTERACEAE,Achillea collina
10,ASTERACEAE,Achillea millefolium
11,ASTERACEAE,Achillea millefolium subsp. millefolium
12,ASTERACEAE,Achillea odorata
13,ASTERACEAE,Achillea ptarmica
14,ASTERACEAE,Achillea ptarmica subsp. pyrenaica
15,ASTERACEAE,Achillea tomentosa
16,LAMIACEAE,Acinos alpinus
17,LAMIACEAE,Acinos arvensis
18,RANUNCULACEAE,Aconitum anthora
19,RANUNCULACEAE,Aconitum napellus
20,RANUNCULACEAE,Aconitum vulgaria subsp. neapolitanum
21,RANUNCULACEAE,Actaea spicata
22,FABACEAE,Adenocarpus complicatus
23,FABACEAE,Adenocarpus hispanicus
24,PTERIDACEAE,Adiantum capillus-veneris
25,RANUNCULACEAE,Adonis aestivalis
26,RANUNCULACEAE,Adonis aestivalis subsp. squarrosa
27,RANUNCULACEAE,Adonis annua
28,RANUNCULACEAE,Adonis flammea
29,RANUNCULACEAE,Adonis microcarpa
30,RANUNCULACEAE,Adonis vernalis
31,POACEAE,Aegilops geniculata
32,POACEAE,Aegilops neglecta
33,POACEAE,Aegilops triuncialis
34,POACEAE,Aegilops ventricosa
35,BORAGINACEAE,Aegonychon purpurocaeruleum
36,POACEAE,Aeluropus littoralis
37,SAPINDACEAE,Aesculus hippocastanum
38,BRASSICACEAE,Aethionema marginatum
39,BRASSICACEAE,Aethionema monospermum
40,BRASSICACEAE,Aethionema saxatile
41,BRASSICACEAE,Aethionema saxatile subsp. ovalifolium
42,BRASSICACEAE,Aethionema thomasianum
43,ROSACEAE,Agrimonia eupatoria
44,POACEAE,Agropyron cristatum subsp. pectinatum
45,CARYOPHYLLACEAE,Agrostemma githago
46,POACEAE,Agrostis alpina
47,POACEAE,Agrostis canina
48,POACEAE,Agrostis capillaris
49,POACEAE,Agrostis castellana
50,POACEAE,Agrostis curtisii
51,POACEAE,Agrostis delicatula
52,POACEAE,Agrostis rupestris
53,POACEAE,Agrostis stolonifera
54,POACEAE,Aira caryophyllea
55,POACEAE,Aira cupaniana
56,POACEAE,Aira praecox
57,POACEAE,Airopsis tenella
58,AIZOACEAE,Aizoon hispanicum
59,LAMIACEAE,Ajuga chamaepitys
60,LAMIACEAE,Ajuga pyramidalis
61,LAMIACEAE,Ajuga reptans
62,MALVACEAE,Alcea rosea
63,ROSACEAE,Alchemilla alpigena
64,ROSACEAE,Alchemilla alpina
65,ROSACEAE,Alchemilla basaltica
66,ROSACEAE,Alchemilla colorata
67,ROSACEAE,Alchemilla coriacea
68,ROSACEAE,Alchemilla filicaulis
69,ROSACEAE,Alchemilla filicaulis var. vestita
70,ROSACEAE,Alchemilla glabra
71,ROSACEAE,Alchemilla plicatula
72,ROSACEAE,Alchemilla polatschekiana
73,ROSACEAE,Alchemilla santanderiensis
74,ROSACEAE,Alchemilla saxatilis
75,ROSACEAE,Alchemilla saxetana
76,ROSACEAE,Alchemilla spectabilior
77,ROSACEAE,Alchemilla straminea
78,ROSACEAE,Alchemilla tenuis
79,ROSACEAE,Alchemilla transiens
80,ROSACEAE,Alchemilla vetteri
81,ROSACEAE,Alchemilla xanthochlora
82,ALISMATACEAE,Alisma lanceolatum
83,ALISMATACEAE,Alisma plantago-aquatica
84,BRASSICACEAE,Alliaria petiolata
85,AMARYLLIDACEAE,Allium ampeloprasum
86,AMARYLLIDACEAE,Allium guttatum subsp. sardoum
87,AMARYLLIDACEAE,Allium lusitanicum
88,AMARYLLIDACEAE,Allium oleraceum
89,AMARYLLIDACEAE,Allium oleraceum var. oleraceum
90,AMARYLLIDACEAE,Allium paniculatum
91,AMARYLLIDACEAE,Allium roseum
92,AMARYLLIDACEAE,Allium schoenoprassum
93,AMARYLLIDACEAE,Allium schoenoprasum
94,AMARYLLIDACEAE,Allium scorodoprasum subsp. rotundum
95,AMARYLLIDACEAE,Allium sphaerocephalon
96,AMARYLLIDACEAE,Allium stearnii
97,AMARYLLIDACEAE,Allium ursinum
98,AMARYLLIDACEAE,Allium victorialis
99,AMARYLLIDACEAE,Allium vineale
100,PTERIDACEAE,Allosurus acrosticus
101,PTERIDACEAE,Allosurus pteridioides
102,BETULACEAE,Alnus glutinosa
103,POACEAE,Alopecurus aequalis
104,POACEAE,Alopecurus arundinaceus
105,POACEAE,Alopecurus geniculatus
106,POACEAE,Alopecurus myosuroides
107,POACEAE,Alopecurus pratensis
108,MALVACEAE,Althaea cannabina
109,MALVACEAE,Althaea hirsuta
110,MALVACEAE,Althaea officinalis
111,BRASSICACEAE,Alyssum alyssoides
112,BRASSICACEAE,Alyssum fastigiatum
113,BRASSICACEAE,Alyssum granatense
114,BRASSICACEAE,Alyssum linifolium
115,BRASSICACEAE,Alyssum minutum
116,BRASSICACEAE,Alyssum montanum
117,BRASSICACEAE,Alyssum serpyllifolium
118,BRASSICACEAE,Alyssum simplex
119,AMARANTHACEAE,Amaranthus albus
120,AMARANTHACEAE,Amaranthus blitoides
121,AMARANTHACEAE,Amaranthus blitum
122,AMARANTHACEAE,Amaranthus deflexus
123,AMARANTHACEAE,Amaranthus graecizans subsp. silvestris
124,AMARANTHACEAE,Amaranthus hybridus
125,AMARANTHACEAE,Amaranthus muricatus
126,AMARANTHACEAE,Amaranthus powelli
127,AMARANTHACEAE,Amaranthus powellii
128,AMARANTHACEAE,Amaranthus retroflexus
129,ROSACEAE,Amelanchier ovalis
130,APIACEAE,Ammi majus
131,APIACEAE,Ammi visnaga
132,ORCHIDACEAE,Anacamptis coriophora
133,ORCHIDACEAE,Anacamptis pyramidalis
134,ASTERACEAE,Anacyclus clavatus
135,ASTERACEAE,Anacyclus valentinus
136,PLANTAGINACEAE,Anarrhinum bellidifolium
137,BORAGINACEAE,Anchusa arvensis
138,BORAGINACEAE,Anchusa azurea
139,BORAGINACEAE,Anchusa italica
140,PRIMULACEAE,Androsace maxima
141,PRIMULACEAE,Androsace rioxana
142,PRIMULACEAE,Androsace villosa
143,ASTERACEAE,Andryala integrifolia
144,ASTERACEAE,Andryala ragusina
145,ASTERACEAE,Andryala ragusina var. ragusina
146,RANUNCULACEAE,Anemone nemorosa
147,RANUNCULACEAE,Anemone ranunculoides
148,APIACEAE,Anethum graveolens
149,APIACEAE,Angelica major
150,APIACEAE,Angelica sylvestris
151,PTERIDACEAE,Anogramma leptophylla
152,ASTERACEAE,Antennaria dioica
153,ORCHIDACEAE,Anteriorchis fragrans
154,ASTERACEAE,Anthemis alpestris
155,ASTERACEAE,Anthemis arvensis
156,ASTERACEAE,Anthemis carpatica
157,ASTERACEAE,Anthemis cotula
158,ASTERACEAE,Anthemis triumfetti
159,ASPARAGACEAE,Anthericum liliago
160,POACEAE,Anthoxanthum odoratum
161,POACEAE,Anthoxanthum ovatum subsp. aristatum
162,APIACEAE,Anthriscus caucalis
163,APIACEAE,Anthriscus sylvestris
164,FABACEAE,Anthyllis montana subsp. hispanica
165,FABACEAE,Anthyllis vulneraria subsp. alpestris
166,FABACEAE,Anthyllis vulneraria subsp. gandogeri
167,FABACEAE,Anthyllis vulneraria subsp. iberica
168,FABACEAE,Anthyllis vulneraria subsp. sampaioana
169,FABACEAE,Anthyllis vulneraria subsp. vulnerarioides
170,PLANTAGINACEAE,Antirrhinum barrelieri
171,PLANTAGINACEAE,Antirrhinum braun-blanquetii
172,PLANTAGINACEAE,Antirrhinum litigiosum
173,PLANTAGINACEAE,Antirrhinum meonanthum
174,ROSACEAE,Aphanes arvensis
175,ROSACEAE,Aphanes australis
176,ROSACEAE,Aphanes cornucopioides
177,ROSACEAE,Aphanes microcarpa
178,ASPARAGACEAE,Aphyllanthes monspeliensis
179,APIACEAE,Apium graveolens
180,APIACEAE,Apium nodiflorum
181,RANUNCULACEAE,Aquilegia vulgaris
182,BRASSICACEAE,Arabidopsis thaliana
183,BRASSICACEAE,Arabis alpina
184,BRASSICACEAE,Arabis auriculata
185,BRASSICACEAE,Arabis hirsuta
186,BRASSICACEAE,Arabis parvula
187,BRASSICACEAE,Arabis planisiliqua
188,BRASSICACEAE,Arabis scabra
189,BRASSICACEAE,Arabis serpillifolia
190,BRASSICACEAE,Arabis turrita
191,ERICACEAE,Arbutus unedo
192,SANTALACEAE,Arceuthobium oxycedri
193,ASTERACEAE,Arctium minus
194,ERICACEAE,Arctostaphylos uva-ursi
195,CARYOPHYLLACEAE,Arenaria erinacea
196,CARYOPHYLLACEAE,Arenaria grandiflora
197,CARYOPHYLLACEAE,Arenaria interpres
198,CARYOPHYLLACEAE,Arenaria leptoclados
199,CARYOPHYLLACEAE,Arenaria modesta
200,CARYOPHYLLACEAE,Arenaria montana
201,CARYOPHYLLACEAE,Arenaria pomelii subsp. ciliaris
202,CARYOPHYLLACEAE,Arenaria serpyllifolia
203,FABACEAE,Argyrolobium zanonii
204,ARISTOLOCHIACEAE,Aristolochia paucinervis
205,ARISTOLOCHIACEAE,Aristolochia pistolochia
206,PLUMBAGINACEAE,Armeria alliacea subsp. matritensis
207,PLUMBAGINACEAE,Armeria arenaria
208,PLUMBAGINACEAE,Armeria arenaria subsp. arenaria
209,PLUMBAGINACEAE,Armeria arenaria subsp. bilbilitana
210,PLUMBAGINACEAE,Armeria bigerrensis subsp. losae
211,PLUMBAGINACEAE,Armeria cantabrica
212,ASTERACEAE,Arnoseris minima
213,POACEAE,Arrhenatherum album
214,POACEAE,Arrhenatherum elatius
215,POACEAE,Arrhenatherum elatius subsp. bulbosum
216,POACEAE,Arrhenatherum elatius subsp. sardoum
217,ASTERACEAE,Artemisia absinthium
218,ASTERACEAE,Artemisia alba
219,ASTERACEAE,Artemisia campestris
220,ASTERACEAE,Artemisia herba-alba
221,ASTERACEAE,Artemisia vulgaris
222,ARACEAE,Arum cylindraceum
223,ARACEAE,Arum italicum
224,ARACEAE,Arum maculatum
225,ARACEAE,Arum orientale subsp. orientale
226,POACEAE,Arundo donax
227,ASPARAGACEAE,Asparagus acutifolius
228,BORAGINACEAE,Asperugo procumbens
229,RUBIACEAE,Asperula aristata subsp. scabra
230,RUBIACEAE,Asperula arvensis
231,RUBIACEAE,Asperula cynanchica
232,RUBIACEAE,Asperula pyrenaica
233,ASPHODELACEAE,Asphodelus aestivus
234,ASPHODELACEAE,Asphodelus albus
235,ASPHODELACEAE,Asphodelus albus subsp. albus
236,ASPHODELACEAE,Asphodelus ayardii
237,ASPHODELACEAE,Asphodelus cerasiferus
238,ASPHODELACEAE,Asphodelus fistulosus
239,ASPHODELACEAE,Asphodelus ramosus
240,ASPHODELACEAE,Asphodelus serotinum
241,ASPLENIACEAE,Asplenium adiantum-nigrum
242,ASPLENIACEAE,Asplenium billotii
243,ASPLENIACEAE,Asplenium ceterach
244,ASPLENIACEAE,Asplenium csikii
245,ASPLENIACEAE,Asplenium fontanum
246,ASPLENIACEAE,Asplenium obovatum subsp. lanceolatum
247,ASPLENIACEAE,Asplenium onopteris
248,ASPLENIACEAE,Asplenium petrarchae
249,ASPLENIACEAE,Asplenium ruta-muraria
250,ASPLENIACEAE,Asplenium scolopendrium
251,ASPLENIACEAE,Asplenium seelosii subsp. glabrum
252,ASPLENIACEAE,Asplenium septentrionale
253,ASPLENIACEAE,Asplenium trichomanes
254,ASPLENIACEAE,Asplenium trichomanes subsp. hastatum
255,ASPLENIACEAE,Asplenium trichomanes subsp. quadrivalens
256,ASPLENIACEAE,Asplenium viride
257,ASPLENIACEAE,Asplenium x alternifolium
258,ASPLENIACEAE,Asplenium x sarniense
259,ASPLENIACEAE,Asplenium x souchei
260,ASPLENIACEAE,Asplenium x staufferi
261,ASPLENIACEAE,Asplenium x ticinense
262,ASTERACEAE,Aster alpinus
263,ASTERACEAE,Aster aragonensis
264,ASTERACEAE,Aster linosyris
265,ASTERACEAE,Aster squamatus
266,ASTERACEAE,Aster willkommii
267,ASTERACEAE,Asteriscus aquaticus
268,PRIMULACEAE,Asterolinon linum-stellatum
269,FABACEAE,Astragalus alopecuroides
270,FABACEAE,Astragalus austriacus
271,FABACEAE,Astragalus depressus
272,FABACEAE,Astragalus echinatus
273,FABACEAE,Astragalus glaux
274,FABACEAE,Astragalus glycyphyllos
275,FABACEAE,Astragalus hamosus
276,FABACEAE,Astragalus hypoglottis
277,FABACEAE,Astragalus incanus
278,FABACEAE,Astragalus incanus subsp. nummularioides
279,FABACEAE,Astragalus monspessulanus
280,FABACEAE,Astragalus monspessulanus subsp. gypsophilus
281,FABACEAE,Astragalus nevadensis subsp. muticus
282,FABACEAE,Astragalus sempervirens
283,FABACEAE,Astragalus sesameus
284,FABACEAE,Astragalus stella
285,FABACEAE,Astragalus vesicarius
286,APIACEAE,Astrantia major
287,ATHYRIACEAE,Athyrium distentifolium
288,ATHYRIACEAE,Athyrium filix-femina
289,ASTERACEAE,Atractylis cancellata
290,ASTERACEAE,Atractylis humilis
291,AMARANTHACEAE,Atriplex halimus
292,AMARANTHACEAE,Atriplex patula
293,AMARANTHACEAE,Atriplex prostrata
294,AMARANTHACEAE,Atriplex rosea
295,SOLANACEAE,Atropa bella-donna
296,SOLANACEAE,Atropa belladona
297,POACEAE,Avellinia festucoides
298,POACEAE,Avena barbata
299,POACEAE,Avena barbata subsp. barbata
300,POACEAE,Avena fatua
301,POACEAE,Avena sativa
302,POACEAE,Avena sativa subsp. byzantina
303,POACEAE,Avena sterilis subsp. ludoviciana
304,POACEAE,Avena sterilis subsp. sterilis
305,POACEAE,Avenella flexuosa
306,POACEAE,Avenula pratensis subsp. iberica
307,POACEAE,Avenula pratensis var. paniculata
308,POACEAE,Avenula pratensis var. vasconica
309,POACEAE,Avenula sulcata subsp. sulcata
310,ALISMATACEAE,Baldellia alpestris
311,ALISMATACEAE,Baldellia ranunculoides
312,LAMIACEAE,Ballota nigra
313,LAMIACEAE,Ballota nigra subsp. foetida
314,BRASSICACEAE,Barbarea intermedia
315,BRASSICACEAE,Barbarea vulgaris
316,OROBANCHACEAE,Bartsia trixago
317,AMARANTHACEAE,Bassia prostrata
318,AMARANTHACEAE,Bassia scoparia
319,AMARANTHACEAE,Bassia scoparia subsp. densiflora
320,OROBANCHACEAE,Bellardia trixago
321,ASTERACEAE,Bellis perennis
322,ASTERACEAE,Bellis sylvestris
323,APIACEAE,Berula erecta
324,AMARANTHACEAE,Beta vulgaris subsp. vulgaris
325,BETULACEAE,Betula alba
326,BETULACEAE,Betula alba var. alba
327,BETULACEAE,Betula alba var. glabrata
328,BETULACEAE,Betula celtiberica
329,BETULACEAE,Betula pendula var. meridionalis
330,BETULACEAE,Betula pubescens
331,ASTERACEAE,Bidens aurea
332,ASTERACEAE,Bidens aureus
333,ASTERACEAE,Bidens cernuus
334,ASTERACEAE,Bidens tripartita
335,ASTERACEAE,Bidens tripartitus
336,APIACEAE,Bifora testiculata
337,BRASSICACEAE,Biscutella intermedia
338,BRASSICACEAE,Biscutella valentina
339,BRASSICACEAE,Biscutella valentina var. laevigata
340,BRASSICACEAE,Biscutella valentina var. valentina
341,FABACEAE,Bituminaria bituminosa
342,GENTIANACEAE,Blackstonia acuminata
343,GENTIANACEAE,Blackstonia imperfoliata
344,GENTIANACEAE,Blackstonia perfoliata
345,BLECHNACEAE,Blechnum spicant
346,BLECHNACEAE,Blechnum spicant var. spicant
347,CYPERACEAE,Bolboschoenus glaucus
348,CYPERACEAE,Bolboschoenus maritimus
349,ASTERACEAE,Bombycilaena discolor
350,ASTERACEAE,Bombycilaena erecta
351,BORAGINACEAE,Borago officinalis
352,OPHIOGLOSSACEAE,Botrychium lunaria
353,OROBANCHACEAE,Bouardia latisquama
