universe_index,family,taxon,query_complexity,match_state,matched_scientific_name,sis_taxon_id,global_assessment_state,assessment_id,red_list_category_code,red_list_category,criteria,year_published,assessment_date,latest,population_trend_code,population_trend,possibly_extinct,possibly_extinct_in_the_wild,iucn_url,citation,lookup_http_status,lookup_url,raw_lookup_sha256,raw_assessment_sha256,source_accessed_at,source
1,PINACEAE,Abies alba,BINOMIAL,EXACT_PRIMARY,Abies alba,42270,GLOBAL_ASSESSMENT_ACQUIRED,212831959,LC,Least Concern,,2026,2022-01-14T00:00:00.000+00:00,True,2,Stable,False,False,https://www.iucnredlist.org/species/42270/212831959,"Farjon, A. 2026. Abies alba. The IUCN Red List of Threatened Species 2026: e.T42270A212831959. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Abies&species_name=alba,bbd305a65d44afc0acc1716a4631b5949d2d054f8ecd9061d1eeff7815e13789,11bea07becf889b64951e04a70467e24b3d0eb3698a36e0e2a4d120e64771d73,2026-08-19T05:48:55.897782+00:00,IUCN_RED_LIST_API_V4_FRESH
2,MALVACEAE,Abutilon theophrasti,BINOMIAL,EXACT_PRIMARY,Abutilon theophrasti,19218588,NO_GLOBAL_ASSESSMENT_FOUND,,,,,,,,,,,,,,200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Abutilon&species_name=theophrasti,29d391647a19c2e7212e3fd4da8d42b1d21289ce9d76592f02a22766047d182a,,2026-08-19T05:48:57.018960+00:00,IUCN_RED_LIST_API_V4_FRESH
3,SAPINDACEAE,Acer campestre,BINOMIAL,EXACT_PRIMARY,Acer campestre,193523,GLOBAL_ASSESSMENT_ACQUIRED,2241515,LC,Least Concern,,2017,2017-02-03T00:00:00.000+00:00,True,2,Stable,False,False,https://www.iucnredlist.org/species/193523/2241515,"Crowley, D. & Rivers, M.C. 2017. Acer campestre. The IUCN Red List of Threatened Species 2017: e.T193523A2241515. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acer&species_name=campestre,2a4b348e57b11ed8328c3a3b9b8060eaad06495e11fd8c7303881cc9eb14d488,573724c6c753d90a0c93e5f7f758c52667d125d5a83cc36338846cd4021d8564,2026-08-19T05:48:57.831232+00:00,IUCN_RED_LIST_API_V4_FRESH
4,SAPINDACEAE,Acer monspessulanum,BINOMIAL,EXACT_PRIMARY,Acer monspessulanum,193835,GLOBAL_ASSESSMENT_ACQUIRED,135202094,LC,Least Concern,,2018,2018-02-05T00:00:00.000+00:00,True,2,Stable,False,False,https://www.iucnredlist.org/species/193835/135202094,"Crowley, D., Rivers, M.C. & Barstow, M. 2018. Acer monspessulanum (errata version published in 2018). The IUCN Red List of Threatened Species 2018: e.T193835A135202094. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acer&species_name=monspessulanum,53ea4ff9b363ac5dc9aac18d7fc4c95ca800be55cecf1e63847f6a2301c7f6cf,b3a8b0e9cdaa5afe908a8ceddc94f24243a601847525fae460dce54a48f2abee,2026-08-19T05:48:59.880203+00:00,IUCN_RED_LIST_API_V4_FRESH
5,SAPINDACEAE,Acer monspessulanum x A. campestre,COMPLEX_OR_INFRASPECIFIC,NO_EXACT_MATCH,,,NO_EXACT_TAXON_MATCH,,,,,,,,,,,,,,200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acer&species_name=monspessulanum,53ea4ff9b363ac5dc9aac18d7fc4c95ca800be55cecf1e63847f6a2301c7f6cf,,2026-08-19T05:49:01.730907+00:00,IUCN_RED_LIST_API_V4_FRESH
6,SAPINDACEAE,Acer opalus,BINOMIAL,EXACT_PRIMARY,Acer opalus,193844,GLOBAL_ASSESSMENT_ACQUIRED,2285496,LC,Least Concern,,2018,2016-09-21T01:00:00.000+01:00,True,3,Unknown,False,False,https://www.iucnredlist.org/species/193844/2285496,"Crowley, D. & Rivers, M.C. 2018. Acer opalus. The IUCN Red List of Threatened Species 2018: e.T193844A2285496. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acer&species_name=opalus,fe236d5c314592637385c0a19b7ae00a83753991f8d2a18875169736136e3a47,bcbb5eddecf4681439e8b0f441ee5d952ce8ae1cd00ae4b4188dc84c919e7613,2026-08-19T05:49:02.565604+00:00,IUCN_RED_LIST_API_V4_FRESH
7,SAPINDACEAE,Acer pseudoplatanus,BINOMIAL,EXACT_PRIMARY,Acer pseudoplatanus,193856,GLOBAL_ASSESSMENT_ACQUIRED,125923004,LC,Least Concern,,2017,2017-02-03T00:00:00.000+00:00,True,3,Unknown,False,False,https://www.iucnredlist.org/species/193856/125923004,"Crowley, D., Rivers, M.C. & Barstow, M. 2017. Acer pseudoplatanus (errata version published in 2018). The IUCN Red List of Threatened Species 2017: e.T193856A125923004. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acer&species_name=pseudoplatanus,1340903cc5224766b055e01f67310fa2a9a34eddb55ed7c18ef866cebadd666f,68993fe53b40422eb712618c3a7236278188931735b10a1df2f5ae43cdaeb0b2,2026-08-19T05:49:04.413335+00:00,IUCN_RED_LIST_API_V4_FRESH
8,ASTERACEAE,Achillea ageratum,BINOMIAL,NO_API_TAXON,,,NO_API_TAXON,,,,,,,,,,,,,,404,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=ageratum,9612fc5295a9a3b95d14128f9fa7d1800842fc595173372f17033a256a44aebf,,2026-08-19T05:49:06.147833+00:00,IUCN_RED_LIST_API_V4_FRESH
9,ASTERACEAE,Achillea collina,BINOMIAL,EXACT_PRIMARY,Achillea collina,237933515,NO_GLOBAL_ASSESSMENT_FOUND,,,,,,,,,,,,,,200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=collina,efa9e7cee70a74dacfea92777d0710a0b3a8540a153e130b841e33b853b3e546,,2026-08-19T05:49:07.155439+00:00,IUCN_RED_LIST_API_V4_FRESH
10,ASTERACEAE,Achillea millefolium,BINOMIAL,EXACT_PRIMARY,Achillea millefolium,202909,GLOBAL_ASSESSMENT_ACQUIRED,78457012,LC,Least Concern,,2016,2015-06-08T01:00:00.000+01:00,True,3,Unknown,False,False,https://www.iucnredlist.org/species/202909/78457012,"Maiz-Tome, L. 2016. Achillea millefolium. The IUCN Red List of Threatened Species 2016: e.T202909A78457012. https://dx.doi.org/10.2305/IUCN.UK.2016-1.RLTS.T202909A78457012.en. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=millefolium,d9a948e5e5a0cb86db2ec47f6e22ab1000bf52d8d3af37c57dcc4568f5c8540e,a78ea72b70a52127e42b87ea571fdc951aed32aecaeafec5b493e734d9926485,2026-08-19T05:49:07.967169+00:00,IUCN_RED_LIST_API_V4_FRESH
11,ASTERACEAE,Achillea millefolium subsp. millefolium,COMPLEX_OR_INFRASPECIFIC,NO_EXACT_MATCH,,,NO_EXACT_TAXON_MATCH,,,,,,,,,,,,,,200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=millefolium,d9a948e5e5a0cb86db2ec47f6e22ab1000bf52d8d3af37c57dcc4568f5c8540e,,2026-08-19T05:49:09.819808+00:00,IUCN_RED_LIST_API_V4_FRESH
12,ASTERACEAE,Achillea odorata,BINOMIAL,NO_API_TAXON,,,NO_API_TAXON,,,,,,,,,,,,,,404,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=odorata,9612fc5295a9a3b95d14128f9fa7d1800842fc595173372f17033a256a44aebf,,2026-08-19T05:49:10.655134+00:00,IUCN_RED_LIST_API_V4_FRESH
13,ASTERACEAE,Achillea ptarmica,BINOMIAL,EXACT_PRIMARY,Achillea ptarmica,202910,GLOBAL_ASSESSMENT_ACQUIRED,210745947,LC,Least Concern,,2026,2026-01-14T00:00:00.000+00:00,True,3,Unknown,False,False,https://www.iucnredlist.org/species/202910/210745947,"Meredith, C.R. 2026. Achillea ptarmica. The IUCN Red List of Threatened Species 2026: e.T202910A210745947. Accessed on 19 August 2026.",200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=ptarmica,41af76c627c3c1cc0babdc9823966d26eb3db8eb393306a629e253d60b699f3d,4e03f00f4ece50b3eaec14118bb8b4e290d190af90cf96cb0b42522b4d14d86b,2026-08-19T05:49:11.773752+00:00,IUCN_RED_LIST_API_V4_FRESH
14,ASTERACEAE,Achillea ptarmica subsp. pyrenaica,COMPLEX_OR_INFRASPECIFIC,NO_EXACT_MATCH,,,NO_EXACT_TAXON_MATCH,,,,,,,,,,,,,,200,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=ptarmica,41af76c627c3c1cc0babdc9823966d26eb3db8eb393306a629e253d60b699f3d,,2026-08-19T05:49:13.593037+00:00,IUCN_RED_LIST_API_V4_FRESH
15,ASTERACEAE,Achillea tomentosa,BINOMIAL,NO_API_TAXON,,,NO_API_TAXON,,,,,,,,,,,,,,404,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Achillea&species_name=tomentosa,9612fc5295a9a3b95d14128f9fa7d1800842fc595173372f17033a256a44aebf,,2026-08-19T05:49:14.413277+00:00,IUCN_RED_LIST_API_V4_FRESH
16,LAMIACEAE,Acinos alpinus,BINOMIAL,NO_API_TAXON,,,NO_API_TAXON,,,,,,,,,,,,,,404,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acinos&species_name=alpinus,9612fc5295a9a3b95d14128f9fa7d1800842fc595173372f17033a256a44aebf,,2026-08-19T05:49:15.421116+00:00,IUCN_RED_LIST_API_V4_FRESH
17,LAMIACEAE,Acinos arvensis,BINOMIAL,NO_API_TAXON,,,NO_API_TAXON,,,,,,,,,,,,,,404,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Acinos&species_name=arvensis,9612fc5295a9a3b95d14128f9fa7d1800842fc595173372f17033a256a44aebf,,2026-08-19T05:49:16.423113+00:00,IUCN_RED_LIST_API_V4_FRESH
18,RANUNCULACEAE,Aconitum anthora,BINOMIAL,NO_API_TAXON,,,NO_API_TAXON,,,,,,,,,,,,,,404,https://api.iucnredlist.org/api/v4/taxa/scientific_name?genus_name=Aconitum&species_name=anthora,9612fc5295a9a3b95d14128f9fa7d1800842fc595173372f17033a256a44aebf,,2026-08-19T05:49:17.412585+00:00,IUCN_RED_LIST_API_V4_FRESH
