universe_index,family,taxon,iucn_problem_state,fresh_iucn_threat_reference_present,resolution,checked_at,powo_state,powo_matched_canonical,powo_scientific_name,powo_authorship,powo_taxonomic_status,powo_accepted_name,powo_accepted_id,powo_taxon_id,powo_source_sha256,powo_error,wfo_state,wfo_matched_canonical,wfo_scientific_name,wfo_authorship,wfo_taxonomic_status,wfo_accepted_name,wfo_accepted_id,wfo_taxon_id,wfo_source_sha256,wfo_error,anthos_state,anthos_matched_canonical,anthos_scientific_name,anthos_authorship,anthos_taxonomic_status,anthos_accepted_name,anthos_accepted_id,anthos_taxon_id,anthos_source_sha256,anthos_error
5,SAPINDACEAE,Acer monspessulanum x A. campestre,NO_EXACT_MATCH,False,NO_RESPONSE_ALL_THREE,2026-08-19T17:29:43.532150+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
8,ASTERACEAE,Achillea ageratum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532175+00:00,EXACT_CANONICAL_FOUND,Achillea ageratum,Achillea ageratum,L.,Accepted,,3109591,3109591,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea ageratum,Achillea ageratum,L.,Accepted,,,wfo-0000028766,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Achillea ageratum,Achillea ageratum L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:33174,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
11,ASTERACEAE,Achillea millefolium subsp. millefolium,NO_EXACT_MATCH,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532196+00:00,EXACT_CANONICAL_FOUND,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,,Accepted,,3265623,3265623,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium,,Synonym,,wfo-0000042097,wfo-0000070139,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Achillea millefolium subsp. millefolium,Achillea millefolium subsp. millefolium L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:68744,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
12,ASTERACEAE,Achillea odorata,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532212+00:00,EXACT_CANONICAL_FOUND,Achillea odorata,Achillea odorata,Pall.,Misapplied,,3110060,3110054,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea odorata,Achillea odorata,L.,Synonym,,wfo-0000078016,wfo-0000042039,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Achillea odorata,Achillea odorata L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:40323,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
14,ASTERACEAE,Achillea ptarmica subsp. pyrenaica,NO_EXACT_MATCH,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532228+00:00,EXACT_CANONICAL_FOUND,Achillea ptarmica subsp. pyrenaica,Achillea ptarmica subsp. pyrenaica,(Sibth. ex Godr.) Heimerl,Synonym,,3110135,3215052,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea ptarmica subsp. pyrenaica,Achillea ptarmica subsp. pyrenaica,(Sibth. ex DC.) Heimerl,Synonym,,wfo-0000090968,wfo-0000099176,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
15,ASTERACEAE,Achillea tomentosa,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532244+00:00,EXACT_CANONICAL_FOUND,Achillea tomentosa,Achillea tomentosa,Friv. ex Nyman,Invalid,,3109861,3109858,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea tomentosa,Achillea tomentosa,Fraas ex Nyman,Synonym,,wfo-0000061832,wfo-0000004834,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Achillea tomentosa,Achillea tomentosa L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:85918,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
16,LAMIACEAE,Acinos alpinus,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532259+00:00,EXACT_CANONICAL_FOUND,Acinos alpinus,Acinos alpinus,(L.) Moench,Synonym,,43432,1990,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Acinos alpinus,Acinos alpinus,(L.) Moench,Synonym,,wfo-0000890580,wfo-0001069585,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Acinos alpinus,Acinos alpinus (L.) Moench,(L.) Moench,,,,FUND. BIODIVERSIDAD:ANTHOS:30512,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
17,LAMIACEAE,Acinos arvensis,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532274+00:00,EXACT_CANONICAL_FOUND,Acinos arvensis,Acinos arvensis,(Lam.) Dandy,Synonym,,43426,2009,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Acinos arvensis,Acinos arvensis,(Lam.) Dandy,Synonym,,wfo-0000890516,wfo-0000320080,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Acinos arvensis,Acinos arvensis (Lam.) Dandy,(Lam.) Dandy,,,,FUND. BIODIVERSIDAD:ANTHOS:30530,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
18,RANUNCULACEAE,Aconitum anthora,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.532288+00:00,EXACT_CANONICAL_FOUND,Aconitum anthora,Aconitum anthora,L.,Accepted,,2618374,2618374,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Aconitum anthora,Aconitum anthora,L.,Accepted,,,wfo-0000516910,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Aconitum anthora,Aconitum anthora L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:21877,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
20,RANUNCULACEAE,Aconitum vulgaria subsp. neapolitanum,NO_API_TAXON,False,NO_RESPONSE_ALL_THREE,2026-08-19T17:29:43.532303+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
