universe_index,family,taxon,historical_taxon,effective_identity_state,fresh_iucn_threat_reference_present,resolution,special_interpretation,checked_at,powo_state,powo_matched_canonical,powo_scientific_name,powo_authorship,powo_taxonomic_status,powo_accepted_name,powo_accepted_id,powo_taxon_id,powo_source_sha256,powo_error,wfo_state,wfo_matched_canonical,wfo_scientific_name,wfo_authorship,wfo_taxonomic_status,wfo_accepted_name,wfo_accepted_id,wfo_taxon_id,wfo_source_sha256,wfo_error,anthos_state,anthos_matched_canonical,anthos_scientific_name,anthos_authorship,anthos_taxonomic_status,anthos_accepted_name,anthos_accepted_id,anthos_taxon_id,anthos_source_sha256,anthos_error
1,PINACEAE,Abies alba,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244199+00:00,EXACT_CANONICAL_FOUND,Abies alba,Abies alba,(Castigl.) Michx.,Illegitimate,,381078,381622,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Abies alba,Abies alba,Mill.,Accepted,,,wfo-0000510976,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Abies alba,Abies alba Mill.,Mill.,,,,FUND. BIODIVERSIDAD:ANTHOS:41107,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
2,MALVACEAE,Abutilon theophrasti,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244242+00:00,EXACT_CANONICAL_FOUND,Abutilon theophrasti,Abutilon theophrasti,Medik.,Accepted,,2611008,2611008,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Abutilon theophrasti,Abutilon theophrasti,Medik.,Accepted,,,wfo-0000512325,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Abutilon theophrasti,Abutilon theophrasti Medik.,Medik.,,,,FUND. BIODIVERSIDAD:ANTHOS:26904,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
3,SAPINDACEAE,Acer campestre,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244274+00:00,EXACT_CANONICAL_FOUND,Acer campestre,Acer campestre,L.,Accepted,,2615447,2615447,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Acer campestre,Acer campestre,L.,Accepted,,,wfo-0000514040,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Acer campestre,Acer campestre L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:26587,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
4,SAPINDACEAE,Acer monspessulanum,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244304+00:00,EXACT_CANONICAL_FOUND,Acer monspessulanum,Acer monspessulanum,L.,Accepted,,2615976,2615976,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Acer monspessulanum,Acer monspessulanum,L.,Accepted,,,wfo-0000514593,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Acer monspessulanum,Acer monspessulanum L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:26625,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
5,SAPINDACEAE,Acer monspessulanum x A. campestre,,UNCHANGED,False,NO_RESPONSE_ALL_THREE_REVIEW_REQUIRED,,2026-08-19T20:12:35.244335+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
6,SAPINDACEAE,Acer opalus,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244361+00:00,EXACT_CANONICAL_FOUND,Acer opalus,Acer opalus,Mill.,Accepted,,2616113,2616113,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Acer opalus,Acer opalus,Mill.,Accepted,,,wfo-0000514734,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Acer opalus,Acer opalus Mill.,Mill.,,,,FUND. BIODIVERSIDAD:ANTHOS:26619,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
7,SAPINDACEAE,Acer pseudoplatanus,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244386+00:00,EXACT_CANONICAL_FOUND,Acer pseudoplatanus,Acer pseudoplatanus,L.,Accepted,,2616276,2616276,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Acer pseudoplatanus,Acer pseudoplatanus,L.,Accepted,,,wfo-0000514908,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Acer pseudoplatanus,Acer pseudoplatanus L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:107728,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
8,ASTERACEAE,Achillea ageratum,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244411+00:00,EXACT_CANONICAL_FOUND,Achillea ageratum,Achillea ageratum,L.,Accepted,,3109591,3109591,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea ageratum,Achillea ageratum,L.,Accepted,,,wfo-0000028766,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Achillea ageratum,Achillea ageratum L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:33174,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
9,ASTERACEAE,Achillea collina,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244444+00:00,EXACT_CANONICAL_FOUND,Achillea collina,Achillea collina,(Wirtg.) Becker ex Heimerl,Accepted,,3226104,3226104,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea collina,Achillea collina,Becker ex Rchb.,Synonym,,wfo-0000070589,wfo-0000008845,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
10,ASTERACEAE,Achillea millefolium,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.244472+00:00,EXACT_CANONICAL_FOUND,Achillea millefolium,Achillea millefolium,L.,Accepted,,2908230,2908230,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Achillea millefolium,Achillea millefolium,L.,Accepted,,,wfo-0000042097,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Achillea millefolium,Achillea millefolium L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:33156,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
