universe_index,family,taxon,iucn_problem_state,phase1_resolution,phase2_state,suggested_taxon,supporting_source_count,parent_taxon,parent_sources,powo_normalized_hits,wfo_normalized_hits,anthos_normalized_hits,top_candidates_json,automatic_correction,automatic_deletion,checked_at
100,PTERIDACEAE,Allosurus acrosticus,NO_API_TAXON,NO_RESPONSE_ALL_THREE,SINGLE_SOURCE_STRONG_CANDIDATE,Allosorus acrosticus,1,allosurus acrosticus,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Allosorus acrosticus"",""score"":0.94611,""taxonomic_status"":""Synonym"",""accepted_id"":""3227909"",""accepted_name_resolved"":""Hemionitis acrostica"",""taxon_id"":""2994510""}]",False,False,2026-08-19T17:37:55.233063+00:00
101,PTERIDACEAE,Allosurus pteridioides,NO_API_TAXON,NO_RESPONSE_ALL_THREE,SINGLE_SOURCE_STRONG_CANDIDATE,Allosorus pteridioides,1,allosurus pteridioides,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Allosorus pteridioides"",""score"":0.94747,""taxonomic_status"":""Synonym"",""accepted_id"":""3217966"",""accepted_name_resolved"":""Hemionitis pteridioides"",""taxon_id"":""2994497""}]",False,False,2026-08-19T17:37:55.233088+00:00
201,CARYOPHYLLACEAE,Arenaria pomelii subsp. ciliaris,NO_API_TAXON,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Arenaria pomelii,3,arenaria pomelii,powo;wfo;anthos,,,,"[{""source"":""ANTHOS"",""candidate"":""Arenaria pomelii"",""score"":0.85638,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:1038468""},{""source"":""POWO_WCVP"",""candidate"":""Arenaria pomelii"",""score"":0.85638,""taxonomic_status"":""Accepted"",""accepted_id"":""2649957"",""accepted_name_resolved"":""Arenaria pomelii"",""taxon_id"":""2649957""},{""source"":""WFO"",""candidate"":""Arenaria pomelii"",""score"":0.85638,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000546456""}]",False,False,2026-08-19T17:37:55.233183+00:00
296,SOLANACEAE,Atropa belladona,NO_API_TAXON,NO_RESPONSE_ALL_THREE,SINGLE_SOURCE_STRONG_CANDIDATE,Atropa belladonna,1,atropa belladona,,,,,"[{""source"":""ANTHOS"",""candidate"":""Atropa belladonna"",""score"":0.95742,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:30822""}]",False,False,2026-08-19T17:37:55.233531+00:00
333,ASTERACEAE,Bidens cernuus,NO_API_TAXON,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Bidens cernua,2,bidens cernuus,,,,,"[{""source"":""ANTHOS"",""candidate"":""Bidens cernnus"",""score"":0.88929,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:65228""},{""source"":""POWO_WCVP"",""candidate"":""Bidens cernua"",""score"":0.82308,""taxonomic_status"":""Accepted"",""accepted_id"":""3116452"",""accepted_name_resolved"":""Bidens cernua"",""taxon_id"":""3116452""},{""source"":""WFO"",""candidate"":""Bidens cernua"",""score"":0.82308,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000003695""}]",False,False,2026-08-19T17:37:55.233685+00:00
963,POACEAE,Festuca carpetana,NO_API_TAXON,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Festuca cartagana,2,festuca carpetana,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Festuca cartagana"",""score"":0.82484,""taxonomic_status"":""Accepted"",""accepted_id"":""414752"",""accepted_name_resolved"":""Festuca cartagana"",""taxon_id"":""414752""},{""source"":""WFO"",""candidate"":""Festuca cartagana"",""score"":0.82484,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000870072""}]",False,False,2026-08-19T17:37:55.235319+00:00
981,POACEAE,Festuca sp.,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,festuca sp,,,,,[],False,False,2026-08-19T17:37:55.235333+00:00
1121,ASTERACEAE,Gnaphalium luteo-album,NO_API_TAXON,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Gnaphalium luteolum,2,gnaphalium luteo,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Gnaphalium luteolum"",""score"":0.84015,""taxonomic_status"":""Synonym"",""accepted_id"":""3091422"",""accepted_name_resolved"":""Pseudognaphalium luteoalbum"",""taxon_id"":""3091411""},{""source"":""WFO"",""candidate"":""Gnaphalium luteolum"",""score"":0.84015,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000076089"",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000081666""}]",False,False,2026-08-19T17:37:55.235423+00:00
1418,ASTERACEAE,Leontodon carolipaui,NO_API_TAXON,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,leontodon carolipaui,,,,,[],False,False,2026-08-19T17:37:55.236644+00:00
1465,PLUMBAGINACEAE,Linomium paui,NO_API_TAXON,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,linomium paui,,,,,[],False,False,2026-08-19T17:37:55.236797+00:00
1696,OROBANCHACEAE,Odontites verna,NO_API_TAXON,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Odontites verna subsp. pumila,1,odontites verna,,,,,"[{""source"":""WFO"",""candidate"":""Odontites verna subsp. pumila"",""score"":0.86395,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000388701"",""accepted_name_resolved"":""Odontites vulgaris"",""taxon_id"":""wfo-0001138731""},{""source"":""WFO"",""candidate"":""Odontites verna subsp. litoralis"",""score"":0.84348,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000388601"",""accepted_name_resolved"":""Odontites litoralis"",""taxon_id"":""wfo-0001138730""}]",False,False,2026-08-19T17:37:55.237408+00:00
1697,OROBANCHACEAE,Odontites verna subsp. serotina,NO_API_TAXON,NO_RESPONSE_ALL_THREE,SINGLE_SOURCE_STRONG_CANDIDATE,Odontites verna subsp. pumila,1,odontites verna,,,,,"[{""source"":""WFO"",""candidate"":""Odontites verna subsp. pumila"",""score"":0.92241,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000388701"",""accepted_name_resolved"":""Odontites vulgaris"",""taxon_id"":""wfo-0001138731""},{""source"":""WFO"",""candidate"":""Odontites verna subsp. litoralis"",""score"":0.88934,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000388601"",""accepted_name_resolved"":""Odontites litoralis"",""taxon_id"":""wfo-0001138730""}]",False,False,2026-08-19T17:37:55.237442+00:00
