universe_index,family,taxon,iucn_problem_state,phase1_resolution,phase2_state,suggested_taxon,supporting_source_count,parent_taxon,parent_sources,powo_normalized_hits,wfo_normalized_hits,anthos_normalized_hits,top_candidates_json,automatic_correction,automatic_deletion,checked_at
5,SAPINDACEAE,Acer monspessulanum x A. campestre,NO_EXACT_MATCH,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Acer monspessulanum var. cassinense,2,,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Acer monspessulanum var. cassinense"",""score"":0.91269,""taxonomic_status"":""Synonym"",""accepted_id"":""3261550"",""accepted_name_resolved"":""Acer monspessulanum subsp. monspessulanum"",""taxon_id"":""2615979""},{""source"":""WFO"",""candidate"":""Acer monspessulanum var. cassinense"",""score"":0.91269,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000514593"",""accepted_name_resolved"":""Acer monspessulanum"",""taxon_id"":""wfo-0000514595""},{""source"":""POWO_WCVP"",""candidate"":""Acer monspessulanum f. cassinense"",""score"":0.91,""taxonomic_status"":""Synonym"",""accepted_id"":""3261550"",""accepted_name_resolved"":""Acer monspessulanum subsp. monspessulanum"",""taxon_id"":""3005051""},{""source"":""POWO_WCVP"",""candidate"":""Acer monspessulanum f. maroccanum"",""score"":0.89615,""taxonomic_status"":""Synonym"",""accepted_id"":""3261550"",""accepted_name_resolved"":""Acer monspessulanum subsp. monspessulanum"",""taxon_id"":""2615991""},{""source"":""POWO_WCVP"",""candidate"":""Acer monspessulanum var. crenatum"",""score"":0.89615,""taxonomic_status"":""Synonym"",""accepted_id"":""2616213"",""accepted_name_resolved"":""Acer pentapomicum"",""taxon_id"":""2615983""},{""source"":""WFO"",""candidate"":""Acer monspessulanum f. maroccanum"",""score"":0.89615,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000514593"",""accepted_name_resolved"":""Acer monspessulanum"",""taxon_id"":""wfo-0000514608""},{""source"":""WFO"",""candidate"":""Acer monspessulanum var. crenatum"",""score"":0.89615,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000514841"",""accepted_name_resolved"":""Acer pentapomicum"",""taxon_id"":""wfo-0000514600""},{""source"":""POWO_WCVP"",""candidate"":""Acer monspessulanum f. minor"",""score"":0.895,""taxonomic_status"":""Synonym"",""accepted_id"":""3261550"",""accepted_name_resolved"":""Acer monspessulanum subsp. monspessulanum"",""taxon_id"":""3277388""},{""source"":""WFO"",""candidate"":""Acer monspessulanum f. gallicum"",""score"":0.89286,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000514593"",""accepted_name_resolved"":""Acer monspessulanum"",""taxon_id"":""wfo-0000735035""},{""source"":""WFO"",""candidate"":""Acer monspessulanum var. cruciatum"",""score"":0.89091,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000514593"",""accepted_name_resolved"":""Acer monspessulanum"",""taxon_id"":""wfo-0000734808""},{""source"":""ANTHOS"",""candidate"":""Acer monspessulanum"",""score"":0.87885,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:26625""},{""source"":""ANTHOS"",""candidate"":""Acer monspessulanum subsp. monspessulanum"",""score"":0.85822,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:928008""}]",False,False,2026-08-19T17:37:55.232609+00:00
20,RANUNCULACEAE,Aconitum vulgaria subsp. neapolitanum,NO_API_TAXON,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Aconitum vulparia subsp. neapolitanum,3,aconitum vulgaria,,,,,"[{""source"":""ANTHOS"",""candidate"":""Aconitum vulparia subsp. neapolitanum"",""score"":0.91875,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:21859""},{""source"":""POWO_WCVP"",""candidate"":""Aconitum vulparia subsp. neapolitanum"",""score"":0.91875,""taxonomic_status"":""Synonym"",""accepted_id"":""2618952"",""accepted_name_resolved"":""Aconitum lamarckii"",""taxon_id"":""2619766""},{""source"":""WFO"",""candidate"":""Aconitum vulparia subsp. neapolitanum"",""score"":0.91875,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000517515"",""accepted_name_resolved"":""Aconitum lamarckii"",""taxon_id"":""wfo-0000518332""},{""source"":""POWO_WCVP"",""candidate"":""Aconitum vulparia subsp. thalianum"",""score"":0.87255,""taxonomic_status"":""Synonym"",""accepted_id"":""2619756"",""accepted_name_resolved"":""Aconitum vulparia"",""taxon_id"":""2619773""},{""source"":""WFO"",""candidate"":""Aconitum vulparia subsp. thalianum"",""score"":0.87255,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000518321"",""accepted_name_resolved"":""Aconitum vulparia"",""taxon_id"":""wfo-0000518340""},{""source"":""POWO_WCVP"",""candidate"":""Aconitum vulparia subsp. penninum"",""score"":0.85184,""taxonomic_status"":""Synonym"",""accepted_id"":""2619756"",""accepted_name_resolved"":""Aconitum vulparia"",""taxon_id"":""2619769""},{""source"":""WFO"",""candidate"":""Aconitum vulparia subsp. penninum"",""score"":0.85184,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000518321"",""accepted_name_resolved"":""Aconitum vulparia"",""taxon_id"":""wfo-0000518335""},{""source"":""POWO_WCVP"",""candidate"":""Aconitum vulparia subsp. pantocsekianum"",""score"":0.84611,""taxonomic_status"":""Synonym"",""accepted_id"":""2618952"",""accepted_name_resolved"":""Aconitum lamarckii"",""taxon_id"":""3247502""},{""source"":""POWO_WCVP"",""candidate"":""Aconitum vulparia subsp. platanifolium"",""score"":0.83878,""taxonomic_status"":""Synonym"",""accepted_id"":""2618952"",""accepted_name_resolved"":""Aconitum lamarckii"",""taxon_id"":""2619771""},{""source"":""WFO"",""candidate"":""Aconitum vulparia subsp. platanifolium"",""score"":0.83878,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000518321"",""accepted_name_resolved"":""Aconitum vulparia"",""taxon_id"":""wfo-0000518338""},{""source"":""WFO"",""candidate"":""Aconitum vulparia subsp. ranunculifolium"",""score"":0.82925,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000517515"",""accepted_name_resolved"":""Aconitum lamarckii"",""taxon_id"":""wfo-0000743300""}]",False,False,2026-08-19T17:37:55.232772+00:00
89,AMARYLLIDACEAE,Allium oleraceum var. oleraceum,NO_EXACT_MATCH,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Allium oleraceum var. alpestre,2,allium oleraceum,powo;wfo;anthos,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Allium oleraceum var. alpestre"",""score"":0.93136,""taxonomic_status"":""Synonym"",""accepted_id"":""296142"",""accepted_name_resolved"":"""",""taxon_id"":""542920""},{""source"":""WFO"",""candidate"":""Allium oleraceum var. alpestre"",""score"":0.93136,""taxonomic_status"":""Unchecked"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-1200013700""},{""source"":""POWO_WCVP"",""candidate"":""Allium oleraceum var. complanatum"",""score"":0.92742,""taxonomic_status"":""Synonym"",""accepted_id"":""296142"",""accepted_name_resolved"":"""",""taxon_id"":""470963""},{""source"":""POWO_WCVP"",""candidate"":""Allium oleraceum var. carinatum"",""score"":0.925,""taxonomic_status"":""Synonym"",""accepted_id"":""296142"",""accepted_name_resolved"":"""",""taxon_id"":""341381""},{""source"":""WFO"",""candidate"":""Allium oleraceum var. carinatum"",""score"":0.925,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000756866"",""accepted_name_resolved"":""Allium oleraceum"",""taxon_id"":""wfo-0000803010""},{""source"":""POWO_WCVP"",""candidate"":""Allium oleraceum var. latifolium"",""score"":0.91885,""taxonomic_status"":""Synonym"",""accepted_id"":""296142"",""accepted_name_resolved"":"""",""taxon_id"":""342195""},{""source"":""WFO"",""candidate"":""Allium oleraceum var. latifolium"",""score"":0.91885,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000756866"",""accepted_name_resolved"":""Allium oleraceum"",""taxon_id"":""wfo-0000803842""},{""source"":""POWO_WCVP"",""candidate"":""Allium oleraceum var. alpicola"",""score"":0.9161,""taxonomic_status"":""Synonym"",""accepted_id"":""296142"",""accepted_name_resolved"":"""",""taxon_id"":""541798""},{""source"":""WFO"",""candidate"":""Allium oleraceum var. alpicola"",""score"":0.9161,""taxonomic_status"":""Unchecked"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-1200013727""},{""source"":""WFO"",""candidate"":""Allium oleraceum var. canaliculatum"",""score"":0.90156,""taxonomic_status"":""Unchecked"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-1200013733""},{""source"":""ANTHOS"",""candidate"":""Allium oleraceum"",""score"":0.86304,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:35283""}]",False,False,2026-08-19T17:37:55.232909+00:00
92,AMARYLLIDACEAE,Allium schoenoprassum,NO_API_TAXON,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Allium schoenoprasum,3,allium schoenoprassum,,,,,"[{""source"":""ANTHOS"",""candidate"":""Allium schoenoprasum"",""score"":0.96865,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:35391""},{""source"":""POWO_WCVP"",""candidate"":""Allium schoenoprasum"",""score"":0.96865,""taxonomic_status"":""Accepted"",""accepted_id"":""296525"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""296525""},{""source"":""WFO"",""candidate"":""Allium schoenoprasum"",""score"":0.96865,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000757278""},{""source"":""POWO_WCVP"",""candidate"":""Allium schoenoprasum f. foliosum"",""score"":0.89309,""taxonomic_status"":""Illegitimate"",""accepted_id"":""296525"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""3294499""},{""source"":""POWO_WCVP"",""candidate"":""Allium schoenoprasum f. pumilum"",""score"":0.88257,""taxonomic_status"":""Synonym"",""accepted_id"":""296525"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""499076""},{""source"":""POWO_WCVP"",""candidate"":""Allium schoenoprasum var. foliosum"",""score"":0.87963,""taxonomic_status"":""Illegitimate"",""accepted_id"":""296525"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""519654""},{""source"":""WFO"",""candidate"":""Allium schoenoprasum var. foliosum"",""score"":0.87963,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000757278"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""wfo-0000757284""},{""source"":""POWO_WCVP"",""candidate"":""Allium schoenoprasum f. vegetior"",""score"":0.87578,""taxonomic_status"":""Synonym"",""accepted_id"":""296525"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""550529""},{""source"":""WFO"",""candidate"":""Allium schoenoprasum var. bellum"",""score"":0.87578,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000756711"",""accepted_name_resolved"":""Allium maximowiczii"",""taxon_id"":""wfo-0000839879""},{""source"":""WFO"",""candidate"":""Allium schoenoprasum subsp. alpinum"",""score"":0.87327,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000757278"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""wfo-0000772168""},{""source"":""WFO"",""candidate"":""Allium schoenoprasum subsp. pumilum"",""score"":0.87327,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000757278"",""accepted_name_resolved"":""Allium schoenoprasum"",""taxon_id"":""wfo-0000811458""}]",False,False,2026-08-19T17:37:55.233035+00:00
126,AMARANTHACEAE,Amaranthus powelli,NO_API_TAXON,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Amaranthus powellii,3,amaranthus powelli,,,,,"[{""source"":""ANTHOS"",""candidate"":""Amaranthus powellii"",""score"":0.95117,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:20924""},{""source"":""POWO_WCVP"",""candidate"":""Amaranthus powellii"",""score"":0.95117,""taxonomic_status"":""Accepted"",""accepted_id"":""2633044"",""accepted_name_resolved"":""Amaranthus powellii"",""taxon_id"":""2633044""},{""source"":""WFO"",""candidate"":""Amaranthus powellii"",""score"":0.95117,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000530428""}]",False,False,2026-08-19T17:37:55.233140+00:00
240,ASPHODELACEAE,Asphodelus serotinum,NO_API_TAXON,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Asphodelus serotinus,3,asphodelus serotinum,,,,,"[{""source"":""ANTHOS"",""candidate"":""Asphodelus serotinus"",""score"":0.91639,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:1124357""},{""source"":""POWO_WCVP"",""candidate"":""Asphodelus serotinus"",""score"":0.91639,""taxonomic_status"":""Synonym"",""accepted_id"":""275396"",""accepted_name_resolved"":""Asphodeline liburnica"",""taxon_id"":""275605""},{""source"":""WFO"",""candidate"":""Asphodelus serotinus"",""score"":0.91639,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000635855"",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000637134""}]",False,False,2026-08-19T17:37:55.233222+00:00
257,ASPLENIACEAE,Asplenium x alternifolium,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Asplenium alternifolium,2,,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Asplenium alternifolium"",""score"":0.98125,""taxonomic_status"":""Accepted"",""accepted_id"":""3147750"",""accepted_name_resolved"":""Asplenium alternifolium"",""taxon_id"":""3147750""},{""source"":""WFO"",""candidate"":""Asplenium alternifolium"",""score"":0.98125,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0001115839""},{""source"":""WFO"",""candidate"":""Asplenium alternifolium subsp. heufleri"",""score"":0.87857,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000155992"",""accepted_name_resolved"":""Asplenium heufleri"",""taxon_id"":""wfo-0001404376""},{""source"":""WFO"",""candidate"":""Asplenium alternifolium subsp. ponticum"",""score"":0.87857,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-1200008078""},{""source"":""POWO_WCVP"",""candidate"":""Asplenium alternifolium var. oblongifolium"",""score"":0.86364,""taxonomic_status"":""Synonym"",""accepted_id"":""3150051"",""accepted_name_resolved"":""Diplazium oblongifolium"",""taxon_id"":""3174713""},{""source"":""WFO"",""candidate"":""Asplenium alternifolium var. oblongifolium"",""score"":0.86364,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000154599"",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0001375048""},{""source"":""POWO_WCVP"",""candidate"":""Asplenium alternifolium nothosubsp. heufleri"",""score"":0.85441,""taxonomic_status"":""Synonym"",""accepted_id"":""3167737"",""accepted_name_resolved"":""Asplenium heufleri"",""taxon_id"":""3147752""},{""source"":""POWO_WCVP"",""candidate"":""Asplenium alternifolium nothosubsp. ponticum"",""score"":0.85441,""taxonomic_status"":""Accepted"",""accepted_id"":""3292821"",""accepted_name_resolved"":""Asplenium alternifolium nothosubsp. ponticum"",""taxon_id"":""3292821""},{""source"":""WFO"",""candidate"":""Asplenium alternifolium subsp. alternifolium"",""score"":0.85441,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0001427658""},{""source"":""POWO_WCVP"",""candidate"":""Asplenium tenuifolium"",""score"":0.84964,""taxonomic_status"":""Accepted"",""accepted_id"":""3147708"",""accepted_name_resolved"":""Asplenium tenuifolium"",""taxon_id"":""3147708""}]",False,False,2026-08-19T17:37:55.233341+00:00
258,ASPLENIACEAE,Asplenium x sarniense,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Asplenium sarniense,2,,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Asplenium sarniense"",""score"":0.9775,""taxonomic_status"":""Accepted"",""accepted_id"":""3147911"",""accepted_name_resolved"":""Asplenium sarniense"",""taxon_id"":""3147911""},{""source"":""WFO"",""candidate"":""Asplenium sarniense"",""score"":0.9775,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000158835""}]",False,False,2026-08-19T17:37:55.233375+00:00
259,ASPLENIACEAE,Asplenium x souchei,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Asplenium souchei,2,,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Asplenium souchei"",""score"":0.975,""taxonomic_status"":""Accepted"",""accepted_id"":""3147919"",""accepted_name_resolved"":""Asplenium souchei"",""taxon_id"":""3147919""},{""source"":""WFO"",""candidate"":""Asplenium souchei"",""score"":0.975,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0001249797""}]",False,False,2026-08-19T17:37:55.233408+00:00
260,ASPLENIACEAE,Asplenium x staufferi,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,STRONG_SPELLING_OR_NOMENCLATURAL_CANDIDATE,Asplenium staufferi,2,,,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Asplenium staufferi"",""score"":0.9775,""taxonomic_status"":""Accepted"",""accepted_id"":""3197651"",""accepted_name_resolved"":""Asplenium staufferi"",""taxon_id"":""3197651""},{""source"":""WFO"",""candidate"":""Asplenium staufferi"",""score"":0.9775,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000159610""},{""source"":""WFO"",""candidate"":""Asplenium staufferi subsp. moravicum"",""score"":0.85536,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-1000075069"",""accepted_name_resolved"":""Asplenium moravicum"",""taxon_id"":""wfo-0001404380""},{""source"":""POWO_WCVP"",""candidate"":""Asplenium staufferi nothosubsp. moravicum"",""score"":0.83033,""taxonomic_status"":""Synonym"",""accepted_id"":""3322274"",""accepted_name_resolved"":""Asplenium moravicum"",""taxon_id"":""3197652""}]",False,False,2026-08-19T17:37:55.233461+00:00
