position309,B_SOURCE_RECORD_ID,nameVerbatim,sourceRank,isHybrid,finalCategory,ID_TAXON_EXACT,state
1,1891,Acer monspessulanum x A. campestre,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
2,3600,Adenocarpus hispanicus subsp. neilense,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
3,5517,Agave americana,species,False,RESOLVED,1941,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
4,4981,Alchemilla basaltica,species,False,CONFLICT,,CONFLICT_MULTIPLE_EXACT_EIDOS_IDS_VIA_DOCUMENTED_NETWORK
5,3143,Alchemilla filicaulis var. vestita,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
6,1326,Alchemilla plicatula,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
7,2250,Allium oleraceum var. oleraceum,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
8,156,Allium schoenoprassum,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
9,300,Allium senescens subsp. montanum,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
10,2545,Anchusa italica,species,False,RESOLVED,2124,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
11,895,Andryala ragusina var. ragusina,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
12,4287,Anteriorchis coriophora,species,False,CONFLICT,,CONFLICT_MULTIPLE_EXACT_EIDOS_IDS_VIA_DOCUMENTED_NETWORK
13,4286,Anteriorchis coriophora var. carpetana,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
14,3261,Anteriorchis fragrans,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
15,3682,Anthemis triumfettii,species,False,RESOLVED,31641,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
16,1897,Anthyllis montana subsp. hispanica,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
17,4979,Antirrhinum barrelieri,species,False,RESOLVED,2204,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
18,2285,Arum orientale subsp. orientale,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
19,836,Asperula pyrenaica,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
20,4440,Asplenium adiantum-nigrum var. adiantum-nigrum,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
21,3980,Asplenium x alternifolium,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
22,3997,Asplenium x sarniense,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
23,3999,Asplenium x souchei,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
24,4000,Asplenium x staufferi,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
25,4001,Asplenium x ticinense,species,True,CONFLICT,,CONFLICT_HYBRID_FORMULA_REQUIRES_EXPLICIT_IDENTITY_EVIDENCE
26,1894,Astragalus monspessulanus subsp. teresianus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
27,294,Astragalus sempervirens subsp. muticus,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
28,3862,Astragalus vesicarius subsp. vesicarius,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
29,4989,Atropa bella-donna,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
30,5099,Avenula bromoides subsp. pauneroi,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
31,1522,Avenula lodunensis subsp. romero-zarcoi,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
32,1395,Avenula pratensis subsp. iberica,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
33,1398,Avenula pratensis var. paniculata,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
34,1399,Avenula pratensis var. vasconica,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
35,615,Avenula sulcata subsp. sulcata,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
36,5324,Azolla spp.,species,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
37,2070,Ballota nigra subsp. foetida,subspecies,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
38,4509,Betula alba var. alba,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
39,4510,Betula alba var. glabrata,variety,False,UNRESOLVED,,UNRESOLVED_AFTER_SPANISH_NETWORK_AND_EIDOS
40,4065,Betula celtiberica,species,False,RESOLVED,2767,RESOLVED_UNIQUE_EXACT_EIDOS_ID_VIA_DOCUMENTED_NETWORK
