B_SOURCE_RECORD_ID,NOMBRE_RIOJA_VERBATIM,input_MITECO_IDTAXON,reuse_stage,explicit_historical_resolution_signal,exact_name_evidence_count,documented_relation_evidence_count
3600,Adenocarpus hispanicus subsp. neilense,,EXACT_NAME,False,6,0
4981,Alchemilla basaltica,,EXACT_NAME,True,9,0
3143,Alchemilla filicaulis var. vestita,,EXACT_NAME,True,9,0
2250,Allium oleraceum var. oleraceum,,EXACT_NAME,False,10,0
156,Allium schoenoprassum,,EXACT_NAME,False,10,0
895,Andryala ragusina var. ragusina,,EXACT_NAME,True,8,0
4286,Anteriorchis coriophora var. carpetana,,EXACT_NAME,False,6,0
3682,Anthemis triumfettii,,EXACT_NAME,False,6,0
2285,Arum orientale subsp. orientale,,EXACT_NAME,True,9,0
836,Asperula pyrenaica,,EXACT_NAME,True,9,0
4440,Asplenium adiantum-nigrum var. adiantum-nigrum,,EXACT_NAME,False,6,0
1894,Astragalus monspessulanus subsp. teresianus,,EXACT_NAME,False,6,0
294,Astragalus sempervirens subsp. muticus,,EXACT_NAME,False,6,0
3862,Astragalus vesicarius subsp. vesicarius,,EXACT_NAME,False,6,0
4989,Atropa bella-donna,,EXACT_NAME,False,6,0
5099,Avenula bromoides subsp. pauneroi,,EXACT_NAME,False,6,0
1522,Avenula lodunensis subsp. romero-zarcoi,,EXACT_NAME,False,6,0
1398,Avenula pratensis var. paniculata,,EXACT_NAME,True,9,0
1399,Avenula pratensis var. vasconica,,EXACT_NAME,True,9,0
615,Avenula sulcata subsp. sulcata,,EXACT_NAME,True,8,0
4509,Betula alba var. alba,,EXACT_NAME,False,10,0
4510,Betula alba var. glabrata,,EXACT_NAME,True,9,0
1192,Betula pendula var. meridionalis,,EXACT_NAME,True,9,0
3787,Biscutella valentina var. laevigata,,EXACT_NAME,True,9,0
3788,Biscutella valentina var. valentina,,EXACT_NAME,True,8,0
3789,Biscutella valentina var. variegata,,NO_HISTORICAL_REUSE_MATCH,False,0,0
415,Blechnum spicant var. spicant,,EXACT_NAME,True,2,0
910,Bupleurum ranunculoides subsp. gramineus,,NO_HISTORICAL_REUSE_MATCH,False,0,0
911,Bupleurum ranunculoides subsp. ranunculoides,,NO_HISTORICAL_REUSE_MATCH,False,0,0
3587,Campanula hispanica,,EXACT_NAME,True,3,0
1172,Campanula paui,,EXACT_NAME,True,3,0
3629,Campanula trachelium subsp. trachelium,,NO_HISTORICAL_REUSE_MATCH,False,0,0
3767,Campanula urbionensis,,EXACT_NAME,True,3,0
4858,Carduus assoi,,EXACT_NAME,True,3,0
