idtaxon	scientific_name	status	full_cells	partial_cells	identity_state
1085	Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.	CONFIRMED_INTERNAL_CELL	30TWM09,30TWM19,30TWM28,30TWM29,30TWM39,30TWM48,30TWM49,30TWM58,30TWM67,30TWM68,30TWM77	30TVM99,30TVN90,30TWM59,30TWM69,30TWM78,30TWM79,30TWM88,30TWM97,30TWN20,30TWN40,30TXM07	RESOLVED_EXACT_ID
1086	Cotula coronopifolia L.	BORDER_GRID_CANDIDATE		30TWN40	RESOLVED_EXACT_ID
1807	Ailanthus altissima (Mill.) Swingle	BORDER_GRID_CANDIDATE		30TWM69,30TWM79,30TWM88,30TWM89,30TWM96,30TWM97,30TWN02,30TXM07	RESOLVED_EXACT_ID
1941	Agave americana L.	BORDER_GRID_CANDIDATE		30TWN20,30TWN30	RESOLVED_EXACT_ID
2156	Androsace rioxana A. Segura	CONFIRMED_INTERNAL_CELL	30TWM07		RESOLVED_EXACT_ID
2443	Armeria bigerrensis subsp. losae (Bernis) Rivas Mart. & al.	CONFIRMED_INTERNAL_CELL	30TWM07	30TVM97,30TWM05,30TWM15	RESOLVED_EXACT_ID
3521	Genista delphinensis Verl.	CONFIRMED_INTERNAL_CELL	30TWM28,30TWM86		RESOLVED_EXACT_ID
4351	Epipogium aphyllum Sw.	BORDER_GRID_CANDIDATE		30TWM35	RESOLVED_EXACT_ID
4570	Fallopia baldschuanica (Regel) Holub	CONFIRMED_INTERNAL_CELL	30TWM18,30TWM27	30TVM98,30TWM34,30TWM74	RESOLVED_EXACT_ID
4808	Gentiana lutea L.	CONFIRMED_INTERNAL_CELL	30TWM07		RESOLVED_EXACT_ID
5455	Jonopsidium savianum (Caruel) Ball ex Arcang.	CONFIRMED_INTERNAL_CELL	30TWM17,30TWM27,30TWM28	30TWM15,30TWM16,30TWM25	RESOLVED_EXACT_ID
6093	Luronium natans (L.) Raf.	BORDER_GRID_CANDIDATE		30TVM95,30TWM05,30TWM15,30TWM24	RESOLVED_EXACT_ID
6425	Narcissus bulbocodium L.	CONFIRMED_INTERNAL_CELL	30TWM06,30TWM07,30TWM27,30TWM28,30TWM37,30TWM38,30TWM47,30TWM48,30TWM85,30TWN00,30TWN10	30TVM87,30TVM95,30TVM96,30TVM97,30TVM98,30TVN91,30TVN92,30TWM05,30TWM15,30TWM24,30TWM25,30TWM26,30TWM34,30TWM35,30TWM36,30TWM45,30TWN20,30TWN21	RESOLVED_EXACT_ID
6524	Narcissus minor L. subsp. minor	BORDER_GRID_CANDIDATE		30TVN91,30TVN92,30TWN01,30TWN11,30TWN12,30TWN21	RESOLVED_EXACT_ID
6543	Narcissus triandrus L.	CONFIRMED_INTERNAL_CELL	30TWM18,30TWN00,30TWN10	30TVM87,30TVM98,30TVN92,30TWM65,30TWN20	RESOLVED_EXACT_ID
6759	Opuntia maxima Mill.	BORDER_GRID_CANDIDATE		30TWM79,30TWM88	RESOLVED_EXACT_ID
7389	Prunus lusitanica L. subsp. lusitanica	CONFIRMED_INTERNAL_CELL	30TWM06		RESOLVED_EXACT_ID
7854	Ruscus aculeatus L.	CONFIRMED_INTERNAL_CELL	30TWM08,30TWM09,30TWM17,30TWM18,30TWM19,30TWM27,30TWM28,30TWM29,30TWM37,30TWM38,30TWM39,30TWM58,30TWM67,30TWM68,30TWM85,30TWM86,30TWN00,30TWN10	30TVM87,30TVM96,30TVM97,30TVM98,30TVM99,30TVN80,30TVN81,30TVN90,30TVN91,30TVN92,30TWM16,30TWM36,30TWM76,30TWM78,30TWM84,30TWN02,30TWN11,30TWN12,30TWN20,30TWN21,30TWN30,30TWN40,30TWN50	RESOLVED_EXACT_ID
8606	Spiranthes aestivalis (Poir.) Rich.	CONFIRMED_INTERNAL_CELL	30TWM37,30TWM47,30TWM48	30TWM05,30TWM24,30TWM25,30TWM34,30TWM35,30TWM45,30TWM65,30TWM66	RESOLVED_EXACT_ID
9924	Arundo donax L.	BORDER_GRID_CANDIDATE		30TWM78,30TWN20,30TWN30	RESOLVED_EXACT_ID
208841		CONFIRMED_INTERNAL_CELL	30TWM07,30TWM08,30TWM27,30TWM29,30TWM37,30TWM38	30TVM87,30TVM95,30TVM96,30TVM97,30TWM05,30TWM15,30TWM16,30TWM24,30TWM25,30TWM26,30TWM59,30TWM79,30TWM88	UNRESOLVED_CURRENT_ID
210528		BORDER_GRID_CANDIDATE		30TXM07	UNRESOLVED_CURRENT_ID
