source,taxaQueried,searchHitTaxa,explicitSynonymyTaxa,explicitPages,uniqueDiscoveredNames,discoveredNameOccurrences,searchFailureTaxa,fetchFailures
FLORA_MONTIBERICA,185,1,1,4,148,148,180,2
FLORA_VASCULAR_BIOSCRIPTS,185,1,1,4,50,50,179,2
ASTURNATURA,185,1,1,2,18,18,180,0
FLORA_ANDALUCIA,185,1,1,6,12,12,179,0
FLORAGON_JACA,185,1,0,0,0,0,179,12
ARANZADI_MUNIBE,185,0,0,0,0,0,180,0
CICYTEX_EXTREMADURA,185,0,0,0,0,0,179,0
FLORA_CANARIAS,185,0,0,0,0,0,180,0
FLORA_CATALANA,185,0,0,0,0,0,180,0
HVMO_UIB,185,0,0,0,0,0,179,0
JOLUBE_BOTANICAL_CATALOGS,185,0,0,0,0,0,181,0
UGR_HERBARIUM_FLORA_ANDALUCIA_ORIENTAL,185,0,0,0,0,0,180,0
UMA_ACTA_BOTANICA_MALACITANA,185,0,0,0,0,0,180,0
UNAVARRA,185,0,0,0,0,0,180,0
US_FLORA_ANDALUCIA_AUTHOR_PAGES,185,0,0,0,0,0,180,0
