live_object_type	live_object_key	classification	rc3_candidate_taxon_concept_id	action	live_label
taxonomy.external_taxon_reference	01a00e58-ce35-7feb-b996-3f36766797b9	DEPENDENCY_ON_NAME_OVERLAP_REVIEW_REQUIRED	TWK-b4e6c8ce0b3698aca6950bd7	PRESERVE_AND_QUARANTINE_DEPENDENCY	STAGING-DEMO-TAXON-REF-001
taxonomy.identification	01a00a00-191b-797b-88a2-17a57bcc53fa	DEPENDENCY_ON_NAME_OVERLAP_REVIEW_REQUIRED	TWK-b4e6c8ce0b3698aca6950bd7	PRESERVE_AND_QUARANTINE_DEPENDENCY	
taxonomy.identification	01a00f50-dd7a-766b-9ac1-a7a690ed048d	DEPENDENCY_ON_NAME_OVERLAP_REVIEW_REQUIRED	TWK-7a89d9240a4dd39dcd67c0b9	PRESERVE_AND_QUARANTINE_DEPENDENCY	Artemisia herba-alba
taxonomy.identification	01a01057-7706-7041-a265-4d131c9d46f5	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	Lavatera arborea L.
taxonomy.name_usage	01a009e0-2f7c-753b-99bd-a316b1c673b6	DEPENDENCY_ON_NAME_OVERLAP_REVIEW_REQUIRED	TWK-b4e6c8ce0b3698aca6950bd7	PRESERVE_AND_QUARANTINE_DEPENDENCY	Plantago major L.
taxonomy.name_usage	01a009e0-2f87-761f-b39f-577a5496a7fe	DEPENDENCY_ON_NAME_OVERLAP_REVIEW_REQUIRED	TWK-25de774fbf529a9dce497745	PRESERVE_AND_QUARANTINE_DEPENDENCY	Papaver rhoeas L.
taxonomy.name_usage	01a009e3-2824-769e-ab42-c64a1d979502	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	JBLR staging test 72274618
taxonomy.name_usage	01a009e4-184b-7e85-86cd-35416c9aece9	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	JBLR staging test 72336072
taxonomy.regional_taxon_assertion	01a00cd2-04ef-706a-9e14-2d47c9de0a18	DEPENDENCY_ON_NAME_OVERLAP_REVIEW_REQUIRED	TWK-b4e6c8ce0b3698aca6950bd7	PRESERVE_AND_QUARANTINE_DEPENDENCY	unknown
taxonomy.taxon_concept	01a009e0-2f68-7881-a991-0fd47ae3f2a8	NAME_OVERLAP_ONLY_REVIEW_REQUIRED	TWK-b4e6c8ce0b3698aca6950bd7	QUARANTINE_DO_NOT_REUSE_UUID_OR_JBLR_CODE	Plantago major L.
taxonomy.taxon_concept	01a009e0-2f86-76c4-8fe7-3bb55a729575	NAME_OVERLAP_ONLY_REVIEW_REQUIRED	TWK-25de774fbf529a9dce497745	QUARANTINE_DO_NOT_REUSE_UUID_OR_JBLR_CODE	Papaver rhoeas L.
taxonomy.taxon_concept	01a009e3-25cb-7af0-a1e8-29dc309f1dd8	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	JBLR STAGING edited 72274618
taxonomy.taxon_concept	01a009e4-15ea-7cf2-b5ba-6668521cbd36	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	JBLR STAGING edited 72336072
taxonomy.taxon_concept	01a00f50-dbb8-789f-89be-efde65ca64ea	NAME_OVERLAP_ONLY_REVIEW_REQUIRED	TWK-7a89d9240a4dd39dcd67c0b9	QUARANTINE_DO_NOT_REUSE_UUID_OR_JBLR_CODE	Artemisia herba-alba
taxonomy.taxon_concept	01a01057-7705-7fda-8b2c-feb426def180	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	Lavatera arborea L. [provisional]
taxonomy.taxonomic_name	01a009e0-2f75-72d3-ba87-6410ab2c3268	NAME_OVERLAP_ONLY_REVIEW_REQUIRED	TWK-b4e6c8ce0b3698aca6950bd7	QUARANTINE_DO_NOT_REUSE_UUID_OR_JBLR_CODE	Plantago major L.
taxonomy.taxonomic_name	01a009e0-2f86-7f75-84dd-69d7e6e072ce	NAME_OVERLAP_ONLY_REVIEW_REQUIRED	TWK-25de774fbf529a9dce497745	QUARANTINE_DO_NOT_REUSE_UUID_OR_JBLR_CODE	Papaver rhoeas L.
taxonomy.taxonomic_name	01a009e3-26f9-713b-bca9-6289f51ee281	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	JBLR staging test 72274618
taxonomy.taxonomic_name	01a009e4-171c-714b-9ef2-cdfff508e31c	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	JBLR staging test 72336072
taxonomy.taxonomic_name	01a00f50-db22-7d44-91d8-57b0ee4c44ce	NAME_OVERLAP_ONLY_REVIEW_REQUIRED	TWK-7a89d9240a4dd39dcd67c0b9	QUARANTINE_DO_NOT_REUSE_UUID_OR_JBLR_CODE	Artemisia herba-alba
taxonomy.taxonomic_name	01a01057-7705-7fb5-acaa-44b44060df66	NO_RC3_COLLISION		PRESERVE_EXISTING_OBJECT_UNCHANGED	Lavatera arborea L.
taxonomy.term	rank:genus	REFERENCE_TERM_NO_RC3_IDENTITY		REUSE_REFERENCE_TERM_IF_EXPLICITLY_NEEDED	Género
taxonomy.term	rank:species	REFERENCE_TERM_NO_RC3_IDENTITY		REUSE_REFERENCE_TERM_IF_EXPLICITLY_NEEDED	Especie
